id,name,house,house_link,description,added_date,added_by
292,Cross,18,,"Frankincense Resin Tears, Black Frankincense, Eternal Ankh Vanilla absolute accord, Frankincense Incense smoke accord and Tibetan Frankincense",2022-04-24 13:48:46,1
293,Crossroads,Black Phoenix Alchemy Lab,,"The forks of the road: an in-between place, sacred and tangibly magickal in innumerable cultures and faiths. This scent is dark with mystery, taut with power. A chill twilit garden of blooms over dry earth and mosses, heavily laden with incense and offertory herbs.",2022-04-24 13:48:46,1
294,Crowley,Hexennacht,,"Black tea, bergamot, tobacco, vanilla, amber.",2022-04-24 13:48:46,1
295,Crushed Velvet,Alpha Musk,,"comforting textural velvet musk, touch of dry cacao powder extract, soft vanilla touched skin musk, semi sweet Indian sandalwoods, dry honey-like accord,pale agave nectar, a barely-rose sexy incense, soft aged resinous benzoin and peppery lilac adds a unique texture.",2022-04-24 13:48:46,1
296,Crystal,18,,"Harvested in Egypt with Egyptian Black Vanilla pods, flecks extracted and blended into a beautiful and smooth White Musk. For this perfume, it is about precise binding and timing and we hope you enjoy it as it is one of our customer-favorite single notes.",2022-04-24 13:48:46,1
297,Crystalline,18,,"A thick viscous Vanilla that comes on soft and subtle then creates a cacophony of a beautiful cloud of vanilla purity. It is not a food vanilla, but a vanilla that makes you feel at peace, tranquil and right with the world. Vanilla from the stigma of a Vanilla Orchid chosen specifically for this perfume. Wear alone or layered with most any NA perfume from our site.",2022-04-24 13:48:46,1
298,Cthulhu,Black Phoenix Alchemy Lab,,"A creeping, wet, slithering scent, dripping with seaweed, oceanic plants and dark, unfathomable waters.",2022-04-24 13:48:46,1
299,Cucidati,Black Phoenix Alchemy Lab,,"A spicy Sicilian lemon-frosted cookie filled with Calimyrna figs, dried dates, orange peel, dark rum, and almond paste.",2022-04-24 13:48:46,1
300,Cupid's Arrow,Alkemia,,"Sugar cubes effervescing in sparkling champagne, seductive pink orchids and white tuberoses, tempting vanilla toffees, and fragrant Buddha's Hand.",2022-04-24 13:48:46,1
301,Czernobog,Black Phoenix Alchemy Lab,,"A combination of three musks, with splashes of dark myrrh, vetiver and mullein.",2022-04-24 13:48:46,1
302,Daffodil,Redwood Alchemy,,Daffodil,2022-04-24 13:48:46,1
303,Daiyu,Black Phoenix Alchemy Lab,,"Moroccan jasmine, chrysanthemum, tea leaf, white musk, and acai berry",2022-04-24 13:48:46,1
304,Dana O'Shee,Black Phoenix Alchemy Lab,,"Offerings of milk, honey and sweet grain",2022-04-24 13:48:46,1
305,Dance With Me,Possets,,"Refreshing and refined at once. A perennial favorite. A superb coumarin-laced lavender combines with fizzy pink grapefruit, and it all rests on a bed of white musk. Enchantingly innocent but with loads of guile.",2022-04-24 13:48:46,1
306,Dangerous Oil,Possets,,"Dark and heady, what even Madame X would wear if she had to be assured of a conquest. Dangerous Oil is infused with the finest of rare things. Six musks from blackest black up through a rare and gorgeous in itself purple/blue musk hybrid. A good jolt of labdenum and an edge of cognac. The heart note is an entire chypre made only for this project and used for no other. There is a fresh and almost gardenia-like part to this (but there is no gardenia in it), it is not a floral but a resinous blend but there is a mesmerizing beauty to it.",2022-04-24 13:48:46,1
307,Dantalion,Fantôme,,"Creamy chai tea, obscuring mists, sandalwood, a plaster mask, clarifying ginger, carnations, dandelions, & a melted beeswax candle Not vegan",2022-04-24 13:48:46,1
308,Darcy,Poesie,,"Bright but bitter grapefruit gives way to an accord of sultry vetiver and sweet, rich vanilla",2022-04-24 13:48:46,1
309,Dark Delicacies: Black Heart,Black Phoenix Alchemy Lab,,"Sweet pea, vanilla-infused sandalwood, bourbon vanilla, white honey, carnation, pomegranate, Vitis riparia, plum, and cognac.",2022-04-24 13:48:46,1
310,Dauntless,Laurel + June,,"Big rose blooms, a drop of fresh lemon, sweet sugar and musks",2022-04-24 13:48:46,1
311,Dead Leaves and the Dirty Ground,Black Hearted Tart,,"Designed to capture the feeling the morning after a camp out when one first unzips their tent to greet the day. An atmospheric scent made of last night's campfire remnants, a dew covered forest floor, and the sweetness of daybreak streaking through the trees",2022-04-24 13:48:46,1
312,"Dead Leaves, Bourbon Vanilla, and Myrrh",Black Phoenix Alchemy Lab,,N/A,2022-04-24 13:48:46,1
313,Deadite,Twisted Wonderland (Now Spirit & Venom),,"Seemingly sweet blackberry jam with a sinister twist of patchouli, black pepper, and vanilla.",2022-04-24 13:48:46,1
314,Death on a Pale Horse,Black Phoenix Alchemy Lab,,"The End of All Things: empty white musk and mint seeped with solemn lavender, doleful patchouli and vetiver, scythe-sharp yuzu and lime, with geranium bourbon, white sandalwood and calla lily.",2022-04-24 13:48:46,1
315,Dee,Black Phoenix Alchemy Lab,,"soft English leather, rosewood and tonka with a hint of incense, parchment and soft woods.",2022-04-24 13:48:46,1
316,Deep in Earth,Black Phoenix Alchemy Lab,,"Rose geranium, Spanish moss, Irish yew, and graveyard dirt.",2022-04-24 13:48:46,1
317,Delight,Black Phoenix Alchemy Lab,,"Frangipani, with rose, tuberose, and jasmine.",2022-04-24 13:48:46,1
318,Delizia de Marshmallow,Freebie,,"Marshmallow, vanilla, and sugar. It's like sitting in a fluffy cloud made of marshmallows!",2022-04-24 13:48:46,1
319,Diligent Instruction For The Bridal Night,Black Phoenix Alchemy Lab,,Sugar dusted strawberries and mallow blossoms.,2022-04-24 13:48:46,1
320,Dirty,Black Phoenix Alchemy Lab,,"A fresh, crisp white linen scent: perfectly clean, perfectly breezy.",2022-04-24 13:48:46,1
321,Discarded Shamisen HG,Black Phoenix Alchemy Lab,,"Peach blossoms and cherry blossoms with vanilla husk, peonies, and orris root.",2022-04-24 13:48:46,1
322,Disco Nap,Smell Bent,,"A dreamy blend of caramelized vanilla and ambergris softened with almond, coconut, and snuggly musks",2022-04-24 13:48:46,1
323,Divine,Stereoplasm,,"Gooey cherry cake batter, burnt marzipan, fresh cinnamon leaf, orange zest, warm chai cream and roasted hazelnut",2022-04-24 13:48:46,1
324,Diving Cats,NAVA,,"Decadent Cake, Vanilla cream frosting, Vanilla cupcake accord, Marshmallow frosting, Pink Rose petals, Hawaiian Jasmine, Lotus, Patchouli, French Vanilla and Amber",2022-04-24 13:48:46,1
325,Dolly,Alpha Musk,,"a sweet warm-hearted aldehydic opening to a soft, demure watermelon, sparkling yellow amber, jasmine, peaches, honey",2022-04-24 13:48:46,1
326,Dominate,Deconstructing Eden,,"Skin laid bare, the kiss of leather whips, blood red dragon's blood, sharp juniper berries, petitgrain, opulent tobacco leaves, Peruvian clove leaf, a touch of Tahitian vanilla and Peru balsam.",2022-04-24 13:48:46,1
327,"Don't be a Lady, be a Legend",Sucreabeille,,"Raspberry lambic with elderberry syrup, thick, resinous dragon's blood, and elegant amber spheres",2022-04-24 13:48:46,1
328,Dorian,Black Phoenix Alchemy Lab,,"A Victorian fougere with three pale musks and dark, sugared vanilla tea.",2022-04-24 13:48:46,1
329,Dorian V2,Black Phoenix Alchemy Lab,,"Dorian Prototype (A Victorian fougere with three pale musks and dark, sugared vanilla tea.)",2022-04-24 13:48:46,1
330,Dr. Fantastic's Perfect Solution,Sucreabeille,,"A bottle of delicious merlot, freshly squeezed lime, a clover field, copper, stormy ocean water.",2022-04-24 13:48:46,1
331,Dr. Zomg's All-Natural Lovely Lavender Load Lifter,Zomgsmells,,"elemi, palmarosa, fine French lavender, maille lavender, patchouli, every one an essential oil",2022-04-24 13:48:46,1
332,Dracul,Black Phoenix Alchemy Lab,,"Named in honor of Vlad III, Tepes, of the Order of the Dragon. Black musk, tobacco, fir, balsam of peru, cumin, bitter clove, crushed mint, and orange blossom.",2022-04-24 13:48:46,1
333,Dragon's Bone,Black Phoenix Alchemy Lab,,"The dry, thin scent of a draconic ossuary. Dragon's blood resin with white sandalwood, dusty orris and crisp blondewood.",2022-04-24 13:48:46,1
334,Dragon's Claw,Black Phoenix Alchemy Lab,,"Smooth, polished and lethally sharp: dragon's blood resin and three sandalwoods.",2022-04-24 13:48:46,1
335,Dragon's Musk,Black Phoenix Alchemy Lab,,"Dominant, passionate, devastating. Dragon's blood and five deep musks.",2022-04-24 13:48:46,1
336,Draught of Peace,Little Book Eater,,"Pear, Ginseng, Peach Blossom, Amber, Vanilla, Musk",2022-04-24 13:48:46,1
337,DRE:AM,Andromeda's Curse,,"An Ethereal Floral Shoppe - Yellow Roses, Cyan Wisteria, Magenta Orchids, Cherry Blossom Musk and Lucid Dreams.",2022-04-24 13:48:46,1
338,Dream of a Witches Sabbath,Fyrrinae,,"A dark forest thick with the scents of fir boughs, pine needles, sticky sweet-smelling tree resins, snapped cedar branches, mingling with the warmer smell of cardamom",2022-04-24 13:48:46,1
339,Dream of the Nile,18,,"Aged beautifully — White Santalum (Egyptian White Sandalwood of Alexandria), N6 (unreleased Sensual Egyptian Musk), Fresh Vanilla Beans, Blue Jasmine petals (sifted out) and Eternal Ankh Vanilla Absolute.",2022-04-24 13:48:46,1
340,Drink Me,Loreworks,,Drink Me,2022-04-24 13:48:46,1
341,Drink Me,Black Phoenix Alchemy Lab,,"Cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast.",2022-04-24 13:48:46,1
342,Druid,Black Phoenix Alchemy Lab,,"A woolen robe infused with the scent of a vast, primordial forest: ancient trees, fertile soil, wild herbs, spring grasses, and burgundy pitch incense.",2022-04-24 13:48:46,1
343,Duchess,Laurel + June,,"Vanilla bean with sexy white amber and hints of iso E, sandalwood and cetalox.",2022-04-24 13:48:46,1
344,Duende,Fantôme,,"Atmospheric, green, woody. Evokes the smell of being lost in a forest—with oakmoss, cedar, fir, resinous labdanum, benzoin, tree sap, wild violets, and lilac.",2022-04-24 13:48:46,1
345,Duir,Haus of Gloi,,"Polished mahogany and oak, dry leaves, and red berries.",2022-04-24 13:48:46,1
346,Earthly Delights,Cocoa Pink,,"Perfectly ripe dragon fruit with coconut cream and dark coconut rind, rich black earth attar, summer rain, warm tropical woods, and glowing amber.",2022-04-24 13:48:46,1
347,Eat Me,Black Phoenix Alchemy Lab,,"Three white cakes, vanilla, and red and black currants.",2022-04-24 13:48:46,1
348,Eat Me V6,Black Phoenix Alchemy Lab,,"Three white cakes, vanilla, and red and black currants.",2022-04-24 13:48:46,1
349,Ectoplasm,Fantôme,,"Spooky, goopy marshmallow over bone-chilling white musk, sweet amber, a gossamer sugar glaze, dark myrrh, and creeping greenery.",2022-04-24 13:48:46,1
350,Eden,Black Phoenix Alchemy Lab,,"This oil contains the innocence of the Garden, coupled with the Truth and Erudition found in the fruit of the Tree of Evil: fig leaf, fig fruit, honeyed almond milk, toasted coconut and sandalwood.",2022-04-24 13:48:46,1
351,Eggnog Crème,18,,"Buttercream Vanilla, Spices of Nutmeg, Clove, sprinkled Cinnamon, Butter rum, Cherry skin, Vanilla Crystalline Cream, Butter accord, Caramel Accord, Ice Cream accord",2022-04-24 13:48:46,1
352,Eggnog Noel,Poesie,,"Creamy custard, opulent vanilla, warm nutmeg, a splash of French cognac",2022-04-24 13:48:46,1
353,Eggnog Noel 2019,Alkemia,,"From a 17th Century recipe, creamy eggnog spiced with nutmeg, cloves, and spiked with dark Caribbean rum enfolded in a warm, solar embrace of sweet Egyptian amber.",2022-04-24 13:48:46,1
354,Eggnogg,Redwood Alchemy,,"couldnt find notes, smells like scent name, really nice realistic eggnogg to my nose",2022-04-24 13:48:46,1
355,Egle,Black Phoenix Alchemy Lab,,"Ocean water, hyacinth petals, star jasmine, and fir.",2022-04-24 13:48:46,1
356,Egyptian Bergamot & Nile Grapefruit,18,,"Egyptian Bergamot, Nile Grapefruit Essential oil, Persian Myrrh Resin and Egyptian Tea Resin.",2022-04-24 13:48:46,1
357,Egyptian Musk,Nemat International,,"It is a soft, clean, fresh, musky fragrance that has a soothing effect.",2022-04-24 13:48:46,1
358,Egyptian Musk/Santalum Deux,18,,No notes.,2022-04-24 13:48:46,1
359,Egyptian Peach Blossom,18,,"Egyptian Summer Peach Orchard, Egyptian Sandalwood (Studio Limited Original : Santalum) and Egyptian Vanilla Orchid (Studio Limited Original - Kobalt)",2022-04-24 13:48:46,1
360,El Cucuy,Sixteen92,,"Golden mango, orange flower, ripe maracuyá, dried chili, cashmeran, hazy sandalwood incense, agave flower, nopales, warm night air, a quick glint of sharp teeth from the shadows",2022-04-24 13:48:46,1
361,El Yunque,Fyrinnae,,"Sweet guava and tangy pineapple sliced and topped with a few violet petals, then a tiny sprinkle of chili powder",2022-04-24 13:48:46,1
362,Elegant Coquette,Alkemia,,"A light, bright flirtation of sheer white florals, sparkling elderflower wine, raspberry leaf, tea roses, tagettes, and with an elegant touch of summer stone fruits - white peach, green plums, golden apricots with a handful of fresh picked raspberries.",2022-04-24 13:48:46,1
363,Elektra,Olympic Orchids,,"Black currant, ripe fruit, green fig leaves, amber.",2022-04-24 13:48:46,1
364,Elf,Black Phoenix Alchemy Lab,,"Pale golden musk, honeycomb, amber, parma violet, hawthorne bark, aspen leaf, forest lily, life everlasting, white moss, and a hint of wild berry.",2022-04-24 13:48:46,1
365,Ember Vanilla,18,,"A haunting Vanilla cream with accents of caramel and a sweet kiss of brown sugar, in which we mean, the vanilla is underneath teasing and sweetening the woods of exotic Indian Sandalwood, American Cedar, California Redwood and the haunting decadence of our ICON Egyptian Oudh as part of this blend. A vision of smoked vanilla but only by using the finest of NAVA SL ingredients.",2022-04-24 13:48:46,1
366,Enchanted Plumcake,Alkemia,,"Crystallized plums and pears, ripe fig, citron, frosted vanilla musk, candied rose petals, brandied fruitcake",2022-04-24 13:48:46,1
367,Enchantress,Alkemia,,"A bewitching conjuration of aphrodisiacs. An intoxication of amaretto liqueur spiked with cinnamon and citrus peel, star jasmine, accord of Cochleanthes amazonica orchid, mandorla amara, Bourbon vanilla caramels, guaiac wood, sweet vetiver root, and sexy botanical pheromones.",2022-04-24 13:48:46,1
368,Energy,Haus of Gloi,,"Stimulating and spicy clove and cinnamon have long been used to get fiery energy moving. Clove, Benzoin, Copal, (skin safe) Cinnamon, Carnation, Fir Balsam.",2022-04-24 13:48:46,1
369,Energy Shield,Nui Cobalt,,"A dark elderflower chypre with black agarwood, tonka bean, frankincense and fig.",2022-04-24 13:48:46,1
370,Enjoy Your Waffles,Stereoplasm,,"A welcoming breakfast of homemade waffles with plenty of maple syrup, coffee and fresh-squeezed orange juice. Superseded by manipulative whispers from a garden of white daisies, heliotrope and magnolia",2022-04-24 13:48:46,1
371,Envy,Black Phoenix Alchemy Lab,,"Green herbs slithering through mint, lime and lavender.",2022-04-24 13:48:46,1
372,Eos,Fantôme,,"Bright, fruity, citrusy. Tart lemonade with fresh raspberries, candied rose petals, wild berries, and a hint of zesty ginger.",2022-04-24 13:48:46,1
373,Eostre of the Dawn,Black Phoenix Alchemy Lab,,"Jasmine and honeysuckle, sweet milk and female skin.",2022-04-24 13:48:46,1
374,Epicurean,Haus of Gloi,,Layers of chocolate and vanilla cake topped with crushed berry compote and whipped cream.,2022-04-24 13:48:46,1
375,Eros,Black Phoenix Alchemy Lab,,"Myrrh, lilac, and honey wine with crimson tea leaf and sweet resins.",2022-04-24 13:48:46,1
376,Erotic Sake Bowl,BPAL,,"Pink grapefruit, sugared yuzu, lemon leaf, raspberry, Queen mandarin, and plum blossom musk",2022-04-24 13:48:46,1
377,Erzulie Dantor,Black Baccara,,"This blend begins with a vintage-inspired aldehydic base augmented by two kinds of bay rum and reveals bursts of orange, lemon, and vetiver essential oils on the dry down before settling into a very vintage-inspired scent reminiscent of perfumes of the 1920s.",2022-04-24 13:48:46,1
378,Espiritismo,Hexennacht,,"Lavender wands, cowrie shells, coconut husks, tonka beans, black amber, hyssop, spikenard, tea leaves.",2022-04-24 13:48:46,1
379,Estate Lavender,Solstice Scents,,"Estate Vanilla, Lavender (many varieties), Bergamot, Black Tea, Coriander, Wild Violet, Davana, Heather, Rain.",2022-04-24 13:48:46,1
380,Estate Vanilla,Solstice Scents,,"Raw Vanilla Pods, Vanilla Infused Sugar, Cream & Vanilla Extract. Our Rich House Vanilla.",2022-04-24 13:48:46,1
381,Eternal Ankh,NAVA,,"White Amber, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla fleck, African White Vanilla and the scent of soft Egyptian Sands (from the White Amber accord)",2022-04-24 13:48:46,1
382,Eternal Ankh Anniversary,18,,"White Amber, Vanilla Amber Incense Resin, Crystal, Kobalt, Cream Kobalt, Vanilla-Sandalwood, Kerala Vanilla, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla fleck, African White Vanilla, Limestone Amber, Himalayan Fossilized Amber Oil, Amber Musk, Sandalwood Resin, Warm Vanilla Wood and Crimson Egyptian Musk.",2022-04-24 13:48:46,1
383,Eternal Ankh Blue,NAVA,,"White Amber Absolute, Black Patchouli, Kulfi accord, Pistachio, Sandalwood, Egyptian Vanilla Fleck, Egyptian Vanilla Absolute, Amber Resin, Bastet's Black Amber, Saffron, Blue Sugar and a touch of Egyptian Musk and Cardamom.",2022-04-24 13:48:46,1
384,Eternal Ankh Cobalt,18,,"White Amber Absolute, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla fleck, Almond Sweet, Pistachio accord, French Vanilla, a touch of Black Tea, Amber Sweet, Blue Sugar and Organic Bourbon Vanilla Bean",2022-04-24 13:48:46,1
385,Eternal Ankh Fluorite,18,,"White Amber light, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla Fleck, Vanilla bean whole, enfleurage of beautiful Madagascar Ylang Ylang (cananga odorata), Monoi, Mahogany Wood essence and eNVie saphir absolute.",2022-04-24 13:48:46,1
386,Eternal Ankh Labradorite,18,,"White Amber light, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla fleck, enfleurage of South American Honeysuckle (Lonicera japonica), gorgeous Crystalline Absolute infused Bastet's Amber Absolute blend and a drop of pure Egyptian Honeysuckle and Peony Extract.",2022-04-24 13:48:46,1
387,Eternal Ankh Lapis Lazuli,18,,"White Amber light, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla Fleck, eNVie saphir absolute, enfleurage of delicate South American Frangipani (Plumeria alba), Plumeria Absolute and a drop of pure Indian White Jasmine.",2022-04-24 13:48:46,1
388,Eternal Ankh Original,18,,"White Amber, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla fleck, African White Vanilla.",2022-04-24 13:48:46,1
389,Eternal Ankh Pink,18,,"White Amber Absolute, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla fleck, African White Vanilla Absolute, Amber Resin, Bastet's Amber, Pink Sugar and a touch of Crimson Musk",2022-04-24 13:48:46,1
390,Eternal Ankh Purple,NAVA,,"White Amber Absolute, Powdered and reconstructed oil of Egyptian Vanilla Husk, Vanilla fleck, Sambac Jasmine, Egyptian Jasmine Absolute, Indian Jasmine Grandiflorum, Egyptian Musk, Bastet's Amber Absolute, Crystalline Absolute and Organic Pink Peppercorn",2022-04-24 13:48:46,1
391,Eternal Egypt,18,,"White Amber, Red Egyptian Musk, Egyptian Amber and the sands of Egypt",2022-04-24 13:48:46,1
392,Eternal Egypt Gold,18,,"White Amber, Egyptian Musk, Bastet Amber, Sandalwood Absolute, Lily of the Valley, SL Crimson Absolute, NA Kyphi, Guaiac wood, Lavender, Mandarin, aged Moonstone (Studio Limited) and Eternal Ankh Vanilla Husk and fleck",2022-04-24 13:48:46,1
393,Eternal Luxor,NAVA,,"NA Amber, Golden Egyptian Fig, Creamy Coconut Milk and Toasted Coconut Oil",2022-04-24 13:48:46,1
394,Eternal Netherworld,18,,"Egyptian Musk, Ethiopian Sandalwood, Egyptian White Amber, Black Frankincense and the elusive and rare Black Amber (Shadow Amber).",2022-04-24 13:48:46,1
395,Eternal Tut Ankh Amun,18,,"Bourbon Vanille Absolute, Crystalline Absolute, Tonka Absolute, Bastet's Vanilla Bean Absolute accord and White Amber",2022-04-24 13:48:46,1
396,Étienne De Boray Oak,Black Phoenix Alchemy Lab,,"Lilith among the roots of the Tree of Life. Dappled shadows flickering through Spanish moss, oakmoss, oak twigs, squished mushrooms, pine needles, and lavender buds with beams of Manuka honey sunlight.",2022-04-24 13:48:46,1
397,Evening Star,Hexennacht,,"Golden orbs of amber, cognac absolute, booze accord, cacao absolute.",2022-04-24 13:48:46,1
398,Event Horizon,Black Phoenix Alchemy Lab,,"Black opium, labdanum, opoponax, black orchid, and benzoin.",2022-04-24 13:48:46,1
399,Evil Temptress,Alkemia,,"The essence of an inexorable seduction. A naughty elegance of saffron, pink pepper, Ceylon cinnamon, spicy carnations, bourbon roses, pears soaked in honey cognac, cashmeran, hay, tonka, dark caramel, a titilating flick of leather, black opium, and cardamon infused patchouli.",2022-04-24 13:48:46,1
400,Eyes All Aglow,Sixteen92,,"Sweet Belgian waffles, crisp wrapping paper, sparkling tinsel, warm oatmeal cookies, brown sugar, a toasty mug of chai, cozy cashmere",2022-04-24 13:48:46,1
401,Fae,Black Phoenix Alchemy Lab,,"A brilliant, ethereal scent: white musk, bergamot, heliotrope, peach and oakmoss.",2022-04-24 13:48:46,1
402,Fairy Fountain,Area of Effect,,"Freshest rose, sultry vanilla, sweet pink grapefruit, peony petals, raw sugar crystals, and a feisty hit of pink pepper.",2022-04-24 13:48:46,1
403,"Faith, The Siamese Twins",Black Phoenix Alchemy Lab,,Faith is sugared violet,2022-04-24 13:48:46,1
404,Falling Into the Sea,Imaginary Authors,,"Lemon, Bergamot, Grapefruit, Lychee, Tropical Flowers, Warm Sand",2022-04-24 13:48:46,1
405,Falling Slowly,Black Hearted Tart,,"Pink peonies and bright red poppies are the forefront of this swoon worthy, woodsy floral. Sheer iris, rose, and jasmine act as supporting notes in this heady floral bouquet. Cassis, blackberries, rhubarb, and mandarin are mouth watering and intoxicating. Kisses of deep mahogany, white suede, sensual patchouli, and soothing sandalwood make this an irresistibly sexy scent",2022-04-24 13:48:46,1
406,Falling Stars at Summer Solstice,Alkemia,,"The scent of a country summer evening settling into night… wheat fields, new grasses, tilled earth, and stones slowly cooling. Includes a special blend of traditional midsummer botanicals - saint johnswort, vervain, hawthorn, and rowan leaves.",2022-04-24 13:48:46,1
407,Fancy Bread,Haus of Gloi,,"Ripe banana, roasted nuts and brown sugar folded into a delicious quick bread.",2022-04-24 13:48:46,1
408,Feast of Oya,Nui Cobalt Designs,,"A traditional Louisiana infusion to honor the Lwa of Lightning and call forth her power. Ozone and petrichor sharpen the edges of cardamom, green pepper, and sage, while black cherry and pipe tobacco sweeten the base. Wear this scent to bring the thunder and awaken your sacred fury.",2022-04-24 13:48:46,1
409,February Love and Luck Alchemy,Alkemia,,"An auspicious Lunar New Year alchemy of candied lotus root, sweet ginger, dried apricots, jackfruit, Madagascar vanilla beans, sugarcane, jasmine tea, and fortune cookies.",2022-04-24 13:48:46,1
410,Festival Orgy,Black Phoenix Alchemy Lab,,"Soft mosses, lotus petals, bamboo wood, ylang ylang, and vanilla sandalwood.",2022-04-24 13:48:46,1
411,Fichi e Panna,Freebie,,"Fig, milk accord, sugar, vanilla, and sandalwood",2022-04-24 13:48:46,1
412,Fig & Cranberry Sufganiyot,Black Phoenix Alchemy Lab,,Figgy! Piquant! Sugar-dusted and gooey!,2022-04-24 13:48:46,1
413,Fillagree and Shadow,NAVA,,"Saffron, Cherry Blossom, Pineapple, Lemon, Patchouli, Black Musk, Jasmine essence, Coconut Milk, Sandalwood and Nepalese Amber",2022-04-24 13:48:46,1
414,Finest Thing,Poesie,,"baklava soaked in amber honey, helichrysum, wild rosemary, sun-warmed skin",2022-04-24 13:48:46,1
415,Finist the Falcon,Fantôme,,"Bulgarian rose married with dewy Russian rose, swirled in strawberry, currant, & peach kissel with cream.",2022-04-24 13:48:46,1
416,Fireflies in Jars,Astrid,,"Black currant, white gardenia blossoms, summer peaches, mullein, Egyptian geranium, fossilized amber, and a few drops of my ten-year-old house aged patchouli.",2022-04-24 13:48:46,1
417,First Blush,Haus of Gloi,,"Tahitian vanilla bean, white tea, lavender and peach.",2022-04-24 13:48:46,1
418,First Knight (Alistair),Siren Song Elixirs,,"Creamy caramel, marshmallow, vanilla, sandalwood, white rose",2022-04-24 13:48:46,1
419,First Spring,Death and Floral,,"Soft suede and vanilla absolute, ancient forest wood, oak, tonka bean, sea salt",2022-04-24 13:48:46,1
420,Five for Silver,Deep Midnight,,"Cedarwood, Incense, Coriander, Anise, Caramel, Aged Oak, Heliotrope, Crystallized Sugar, Fresh Pumpkin, Florals, Ginger",2022-04-24 13:48:46,1
421,Flapper,Conjur Oils,,"Smoky, sexy vanilla suede, hootch and a trail of Oriental sandalwood make this scent not only the bee's knees, but quite possibly the cat's pajamas as well!",2022-04-24 13:48:46,1
422,Flattery,Possets,,"Faking it can end you up in hell...but it is a honey dripping thing and magnificent while it is being enjoyed. So, I put honey and hot pepper together for a mind tingling experience and put it together with an opposite element, the bitter and fabulous chypre. The combination is unexpectedly gorgeous and, like flattery, very easy to like.",2022-04-24 13:48:46,1
423,Fleurs Historiques et Cacao,Alkemia,,"A historical recipe from the 1700's court of Versailles created by a mistress to delight a king. A paradox of the decadent and the divine - erotically dark cacao and uplifting French lavender blended with piquant black cardamon pods, a splash of tea with lemon peel, and an elegant flirtation of grapefruit blossom and vanilla musk.",2022-04-24 13:48:46,1
424,Fleurs Historiques et Cacao Ultime,Alkemia,,"A historical recipe from the 1700's court of Versailles created by a mistress to delight a king. A paradox of the decadent and the divine – erotically dark cacao and uplifting French lavender blended with piquant black cardamon pods, a splash of tea with lemon peel, and an elegant flirtation of grapefruit blossom and vanilla musk.",2022-04-24 13:48:46,1
425,Flick,Hexennacht,,Every single vanilla bean in my collection,2022-04-24 13:48:46,1
426,Flowering Chrysanthemums,Black Phoenix Alchemy Lab,,"Chrysanthemum, marigold, golden sandalwood, vanilla, cinnamon, and amber incense.",2022-04-24 13:48:46,1
427,Fluffernutter,Hexennacht,,"Marshmallow fluff, peanut butter cookies, peanut butter, and a sticky drizzle of honey.",2022-04-24 13:48:46,1
428,Flufflepuff,Vintner's Reserve,,Rich vanilla cake filled with a mango key lime curd with coconut cream buttercream,2022-04-24 13:48:46,1
429,Fluffy Green Tea,Cocoa Pink,,Green Matcha tea blended with our yummy Marshmallow.,2022-04-24 13:48:46,1
430,Fluoxe-something,Possets,,"Fluoxesomething-Generic P----c, ahem, and get ready to abandon your anxieties and neuroses to the power of Perfume! Please note, this is only perfume and NOT A DRUG! The chemical cocktail of olfactory goodies will have you sniffing and smiling in no time. Forget your worries and cares and surrender to this candylike sugary fragrance. Ahhh. No side effects. External use only. Unisex and carefree.",2022-04-24 13:48:46,1
431,Fondly,Possets,,"Very classical Possety smell, sweet and edible but really a perfume. Vanilla-esque and real easy to wear. Again another twist on that ever most popular smell. Gourmand foody",2022-04-24 13:48:46,1
432,Forest Maiden,Andromeda's Curse,,"Artemisia, Bergamot, Berries, Balsam Fir, Fall Leaves, Dirt, Incense, Moss, Oakmoss, Cedarwood, Sandalwood.",2022-04-24 13:48:46,1
433,Forest Rose,Alkemia,,"A curious wandering into forested mystery - dark heirloom roses, arctic roseroot, Alaskan cypress, juniper berries, Sitka spruce, balsam pine needles, bracken ferns, green cedar tips, and luminous green amber.",2022-04-24 13:48:46,1
434,Forever Young,Laurel + June,,"Strawberry, sugar, cashmere, amber, papaya, honeysuckle, white amber",2022-04-24 13:48:46,1
435,Fougère Accord,Hexennacht,,"My prized, personal house-blended fougère (also used as part of the Wuthering Heights blend): Bulgarian lavender, silvanone, oakmoss absolute, vetiver, tonka, jasmine, cetalox, bergamot, vanillin.",2022-04-24 13:48:46,1
436,Foxcroft Fairgrounds,Solstice Scents,,"Cotton Candy, Cream Soda, Vanilla Taffy, Funnel Cakes, Powdered Sugar, Crisp Fall Air, Woodsmoke, Incense.",2022-04-24 13:48:46,1
437,Foxfire,Alkemia,,"Our special Ghost Fire blend of ambres blanc infused white sugar with sexy swirls of jasmine aldehydes, and night flowering nardo",2022-04-24 13:48:46,1
